id;categoria;motor;cambio;combustivel;marca;modelo;500x12;500x24;500x36;1000x12;1000x24;1000x36;1500x12;1500x24;1500x36;2000x12;2000x24;2000x36;2500x12;2500x24;2500x36;3000x12;3000x24;3000x36
1;Hatch;1.0;Manual;Flex;Ford;KA SE 1.0 Flex;1080;1125;1160;1140;1180;1220;1210;1240;1340;1280;1350;1405;1340;1435;1505;1425;1490;1565
2;Hatch;1.0;Manual;Flex;Ford;KA SE Plus 1.0 Flex;1270;1225;1235;1330;1270;1275;1390;1320;1380;1455;1420;1425;1515;1490;1520;1595;1540;1575
3;Hatch;1.5;Manual;Flex;Ford;KA SE PLUS 1.5 Flex;1125;1275;1345;1195;1325;1395;1265;1385;1500;1340;1510;1555;1410;1570;1670;1510;1630;1720
4;Hatch;1.5;Autom tico;Flex;Ford;KA SE PLUS 1.5 Flex AT;1145;1335;1420;1215;1385;1470;1285;1450;1585;1365;1575;1635;1440;1640;1750;1545;1700;1805
5;Hatch;1.0;Manual;Flex;Renault;Kwid Zen 1.0 12v SCe;1190;1115;1145;1245;1150;1180;1300;1200;1265;1345;1285;1335;1400;1340;1410;1480;1400;1455
6;Hatch;1.0;Manual;Flex;Renault;Sandero Zen 1.0 12v Sce;1565;1405;1385;1620;1440;1420;1680;1490;1510;1730;1600;1580;1790;1650;1685;1885;1740;1730
7;Hatch;1.0;Manual;Flex;Fiat;Argo Drive 1.0 Flex;1960;1555;1525;2055;1590;1585;2160;1660;1675;2275;1755;1725;2345;1815;1840;2390;1880;1870
8;Hatch;1.3;Manual;Flex;Fiat;Argo Drive 1.3 Flex 4p;1400;1325;1390;1470;1365;1460;1535;1445;1565;1595;1565;1625;1660;1630;1755;1790;1700;1790
9;Hatch;1.8;Autom tico;Flex;Fiat;Argo Precision 1.8 Flex 4p AT;1265;1425;1535;1350;1470;1610;1430;1550;1725;1505;1670;1790;1580;1750;1930;1720;1825;1965
10;Hatch;1.6;Manual;Flex;Volkswagen;Polo 1.6 MSI;1540;1470;1540;1620;1515;1585;1690;1575;1690;1755;1690;1740;1825;1755;1850;1920;1815;1905
11;Hatch;1.0;Autom tico;Flex;Volkswagen;Polo 1.0 TSI Comfortline AT;1615;1560;1680;1695;1610;1725;1770;1675;1845;1840;1800;1900;1915;1870;2015;2025;1935;2070
12;Hatch;1.0;Autom tico;Flex;Volkswagen;Polo 1.0 TSI Highline AT;1890;1835;1935;1980;1880;1980;2060;1950;2110;2135;2095;2170;2215;2170;2305;2335;2235;2365
